nretweets,srclng,srclat,dstlng,dstlat
2128,-0.1276831,51.5073346,-0.1276831,51.5073346
1762,-3.7003454,40.4166909,-3.7003454,40.4166909
812,-3.7003454,40.4166909,-3.74922,40.463667
626,-0.1276831,51.5073346,-3.435973,55.378051
576,6.1422961,46.1983922,-0.1276831,51.5073346
533,-2.247926,53.479251,-0.1276831,51.5073346
531,28.97696,41.00527,28.97696,41.00527
520,-3.7003454,40.4166909,2.1699187,41.387917
450,-102.552784,23.634501,-99.133208,19.4326077
448,-46.6388182,-23.5489433,-46.6388182,-23.5489433
434,-46.6388182,-23.5489433,-51.92528,-14.235004
427,2.3522219,48.856614,2.3522219,48.856614
421,32.400208,37.751954,28.97696,41.00527
377,-102.552784,23.634501,-102.552784,23.634501
363,-84.7227071,39.0841968,-0.1276831,51.5073346
348,-3.435973,55.378051,-0.1276831,51.5073346
347,-3.7003454,40.4166909,-5.9962951,37.38264
346,-0.1276831,51.5073346,-2.247926,53.479251
346,-3.7003454,40.4166909,-0.3768049,39.4702393
315,-3.74922,40.463667,-3.7003454,40.4166909
310,-99.133208,19.4326077,-102.552784,23.634501
309,-70.641997,-33.4691199,-70.641997,-33.4691199
290,-74.0059731,40.7143528,-74.0059731,40.7143528
251,-99.133208,19.4326077,-99.133208,19.4326077
241,-0.1276831,51.5073346,-1.1743197,52.3555177
226,6.1422961,46.1983922,-3.435973,55.378051
214,-0.1276831,51.5073346,-74.0059731,40.7143528
213,2.1699187,41.387917,2.1699187,41.387917
210,-3.7003454,40.4166909,-102.552784,23.634501
207,-2.247926,53.479251,-3.435973,55.378051
207,-3.74922,40.463667,-3.74922,40.463667
187,-0.1276831,51.5073346,-2.58791,51.454513
177,-0.1276831,51.5073346,144.9630556,-37.8136111
175,2.1699187,41.387917,-3.7003454,40.4166909
175,-0.1276831,51.5073346,-6.2600825,53.3494426
174,-2.247926,53.479251,-2.247926,53.479251
172,-0.1276831,51.5073346,-4.251806,55.864237
170,6.1422961,46.1983922,28.97696,41.00527
168,6.1422961,46.1983922,-3.7003454,40.4166909
157,-3.7003454,40.4166909,-4.7283811,41.6529434
157,6.1422961,46.1983922,-74.0059731,40.7143528
157,-0.1276831,51.5073346,151.2068896,-33.873651
156,-3.7003454,40.4166909,-99.133208,19.4326077
156,151.2068896,-33.873651,151.2068896,-33.873651
155,6.1422961,46.1983922,2.3522219,48.856614
149,-70.641997,-33.4691199,-71.542969,-35.675147
149,-79.3831843,43.653226,-79.3831843,43.653226
149,2.3522219,48.856614,2.213749,46.227638
145,-3.7003454,40.4166909,-0.8799101,41.6568307
145,6.1422961,46.1983922,144.9630556,-37.8136111
145,-6.2600825,53.3494426,-6.2600825,53.3494426
144,-74.0059731,40.7143528,-0.1276831,51.5073346
142,-51.92528,-14.235004,-51.92528,-14.235004
141,1.777619,50.470632,2.3522219,48.856614
140,32.85411,39.92077,28.97696,41.00527
138,-0.1276831,51.5073346,-3.188267,55.953252
136,6.1422961,46.1983922,-102.552784,23.634501
136,-3.7003454,40.4166909,-3.5979291,37.1764874
134,35.243322,38.963745,28.97696,41.00527
133,-51.92528,-14.235004,-46.6388182,-23.5489433
133,-0.1276831,51.5073346,-79.3831843,43.653226
